City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
135,Bandarbeyla,SO,79.93,overcast clouds,9.4942,50.8122,JABIR HOTEL
136,Sambava,MG,68.43,clear sky,-14.2667,50.1667,Melrose
137,Khandyga,RU,60.64,overcast clouds,62.6667,135.6,Apel'sin
138,Date,JP,60.37,overcast clouds,42.4681,140.8681,静香荘
139,Kuytun,RU,68.79,overcast clouds,54.3419,101.5036,Gostinitsa Tsentral'naya
140,Mahebourg,MU,70.25,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
142,Karlovo,BG,58.89,scattered clouds,42.6333,24.8,Hotel Shterev Karlovo
143,Caceres,ES,74.88,clear sky,39.522,-6.3748,Ahc Hoteles
144,Touros,BR,75.99,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
145,Ribeira Grande,PT,62.94,broken clouds,38.5167,-28.7,Quinta da Meia Eira
146,Torbay,CA,50.76,overcast clouds,47.6666,-52.7314,Gallows Cove
147,Buje,HR,67.66,clear sky,45.41,13.6619,B&Bike al Merlo Olivo
148,Victoria,HK,87.33,overcast clouds,22.2855,114.1577,Mini Central
149,Podor,MR,76.69,broken clouds,16.6527,-14.9587,Auberge Du Tékrour
150,Nhulunbuy,AU,84.81,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
151,Petropavlovka,RU,71.91,broken clouds,50.6114,105.3196,Tuyaa
152,Miyako,JP,59.68,overcast clouds,39.6367,141.9525,Hotel Route Inn Miyako
153,Kununurra,AU,76.98,clear sky,-15.7667,128.7333,Hotel Kununurra
154,Pangnirtung,CA,28.71,broken clouds,66.1451,-65.7125,Kilabuk Lodge
155,Jiangkou,CN,76.37,light rain,25.4872,119.1986,DFM Hotel
156,Karratha,AU,78.49,clear sky,-20.7377,116.8463,ibis Styles Karratha
157,Indian Harbour Beach,US,82.98,clear sky,28.1489,-80.5884,Radisson Suite Hotel Oceanfront
158,Srikakulam,IN,88.03,few clouds,18.3,83.9,Micro Systems
159,Beirut,LB,70.54,broken clouds,33.8889,35.4944,"Crowne Plaza Beirut, an IHG Hotel"
160,Haimen,CN,83.46,light rain,23.1935,116.6142,Shantou Chaoyang Donghui Hotel
161,Macau,MO,88.86,scattered clouds,22.2006,113.5461,Grand Emperor Hotel
162,Te Anau,NZ,39.18,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
163,Saint-Francois,FR,65.64,clear sky,46.4154,3.9054,Manoir Du Bonheur
164,Godfrey,US,87.53,overcast clouds,38.9556,-90.1868,Super 8 by Wyndham Alton
165,Cidreira,BR,50.27,scattered clouds,-30.1811,-50.2056,Hotel Castelo
166,Dundwaraganj,IN,97.38,clear sky,27.7333,78.95,Z S palace
167,Nola,IT,74.39,clear sky,40.922,14.5329,Palazzo Giordano Bruno
168,Gouyave,GD,79.57,few clouds,12.1646,-61.7296,Rumboat Retreat
169,Ubinskoye,RU,66.61,clear sky,55.3068,79.6802,Gostinitsa Siberia
170,Ahipara,NZ,59.29,clear sky,-35.1667,173.1667,Ahipara Holiday Park
171,Comodoro Rivadavia,AR,48.06,clear sky,-45.8667,-67.5,Austral Hotel
172,Beira,MZ,66.56,clear sky,-19.8436,34.8389,Beira Terrace Hotel
173,Riyadh,SA,84.34,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
174,Eyl,SO,80.89,overcast clouds,7.9803,49.8164,Amiin Hotel
175,Chapada Dos Guimaraes,BR,51.46,broken clouds,-15.4606,-55.7497,Pousada Morro Dos Ventos
177,Aklavik,CA,43.2,overcast clouds,68.2191,-135.0107,Aklavik Inn
178,Zhangjiakou,CN,70.16,broken clouds,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
179,Senanga,ZM,49.78,clear sky,-16.1167,23.2667,Zango lodge
180,Bam,IR,85.93,clear sky,29.106,58.357,Bam Tourist Hotel
181,Cairns,AU,81.07,few clouds,-16.9167,145.7667,Mantra Trilogy Cairns
182,Port Lincoln,AU,56.89,broken clouds,-34.7333,135.8667,Port Lincoln Hotel
183,Wagga Wagga,AU,52.61,scattered clouds,-35.1167,147.3667,The Club Motel and Apartments
184,Nome,US,50.16,light rain,64.5011,-165.4064,Dredge 7 Inn
185,Igrim,RU,49.12,overcast clouds,63.1906,64.4162,Obshchezhitiye Uchebno-Proizvodstvennogo Tsentra
186,Iralaya,HN,78.13,overcast clouds,15.0,-83.2333,Iglesia morava renovada
187,Komsomolskiy,UZ,72.32,moderate rain,40.4272,71.7189,Ikathouse
188,Kalmunai,LK,82.29,broken clouds,7.4167,81.8167,VS Villa
189,Asau,RO,63.52,few clouds,46.4333,26.4,Casa Mika Ciobanus
190,Sitka,US,51.69,overcast clouds,57.0531,-135.33,Westmark Sitka
191,Ucluelet,CA,57.09,scattered clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
192,Registro,BR,47.52,clear sky,-24.4875,-47.8436,Régis Hotel
193,Kapaa,US,84.18,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
194,Cherskiy,RU,69.28,few clouds,68.75,161.3,Gostinitsa
195,Klaksvik,FO,47.32,overcast clouds,62.2266,-6.589,Airbnb rooms
196,Nabire,ID,83.44,broken clouds,-3.3667,135.4833,Hotel Nusantara I
