City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
152,Miyako,JP,39.6367,141.9525,59.68,76,93,12.8,overcast clouds
153,Kununurra,AU,-15.7667,128.7333,76.98,19,10,13.8,clear sky
154,Pangnirtung,CA,66.1451,-65.7125,28.71,91,76,1.03,broken clouds
155,Jiangkou,CN,25.4872,119.1986,76.37,96,100,10.6,light rain
156,Karratha,AU,-20.7377,116.8463,78.49,39,3,14.25,clear sky
157,Indian Harbour Beach,US,28.1489,-80.5884,82.98,81,0,6.91,clear sky
158,Srikakulam,IN,18.3,83.9,88.03,57,24,5.48,few clouds
159,Beirut,LB,33.8889,35.4944,70.54,88,75,11.5,broken clouds
160,Haimen,CN,23.1935,116.6142,83.46,78,100,14.5,light rain
161,Macau,MO,22.2006,113.5461,88.86,89,40,16.11,scattered clouds
162,Te Anau,NZ,-45.4167,167.7167,39.18,99,100,2.91,overcast clouds
163,Saint-Francois,FR,46.4154,3.9054,65.64,88,0,4.61,clear sky
164,Godfrey,US,38.9556,-90.1868,87.53,83,85,6.06,overcast clouds
165,Cidreira,BR,-30.1811,-50.2056,50.27,74,26,15.14,scattered clouds
166,Dundwaraganj,IN,27.7333,78.95,97.38,26,7,14.41,clear sky
167,Nola,IT,40.922,14.5329,74.39,69,0,4.63,clear sky
168,Gouyave,GD,12.1646,-61.7296,79.57,83,20,13.8,few clouds
169,Ubinskoye,RU,55.3068,79.6802,66.61,74,3,9.51,clear sky
170,Ahipara,NZ,-35.1667,173.1667,59.29,61,9,22.17,clear sky
171,Comodoro Rivadavia,AR,-45.8667,-67.5,48.06,43,0,2.3,clear sky
172,Beira,MZ,-19.8436,34.8389,66.56,89,9,5.5,clear sky
173,Riyadh,SA,24.6877,46.7219,84.34,13,0,5.48,clear sky
174,Eyl,SO,7.9803,49.8164,80.89,61,100,25.57,overcast clouds
175,Chapada Dos Guimaraes,BR,-15.4606,-55.7497,51.46,66,63,3.02,broken clouds
176,Krivosheino,RU,57.3431,83.9261,69.69,63,32,7.18,scattered clouds
177,Aklavik,CA,68.2191,-135.0107,43.2,71,100,12.75,overcast clouds
178,Zhangjiakou,CN,40.81,114.8794,70.16,42,66,13.96,broken clouds
179,Senanga,ZM,-16.1167,23.2667,49.78,60,0,4.65,clear sky
180,Bam,IR,29.106,58.357,85.93,23,0,4.59,clear sky
